"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-28","Cogent Communications","[174]","6","5.000000091793481","8.400000842812005","109.00000000238288"
"2018-05-29","Cogent Communications","[174]","65","-12.000000171363581","0.4000000028752311","9.600000039674114"
"2018-05-30","Cogent Communications","[174]","87","-9.599999997590203","1.5000000014697434","28.40000000105647"
"2018-05-31","Cogent Communications","[174]","92","-18.900000002759043","5.600000000413274","17.099999997299165"
"2018-06-01","Cogent Communications","[174]","98","-16.79999932798637","-0.5999998390961991","35.600000003114474"
"2018-06-02","Cogent Communications","[174]","12","-23.300000000745058","48.09999995632097","57.39999999059364"
"2018-06-03","Cogent Communications","[174]","5","-2.300000014656689","-2.3000000073807314","80.79999998945289"
"2018-06-04","Cogent Communications","[174]","25","1.0000000002037268","25.999999976193067","35.30000001046574"
"2018-06-05","Cogent Communications","[174]","37","-19.199999958800618","-1.8000000054598786","17.099999964644667"
"2018-06-06","Cogent Communications","[174]","82","-24.6999999989348","-18.700000018725405","-7.69999999920401"
"2018-06-07","Cogent Communications","[174]","14","2.099999642217881","50.39999963896116","157.59999963641167"
"2018-05-22","Comcast Cable Communications, LLC","[7922]","256","-15.299999998882413","-4.800000013347017","13.399999996181577"
"2018-05-23","Comcast Cable Communications, LLC","[7922]","1553","-17.400000128895044","-4.70000016503036","18.299999859183913"
"2018-05-24","Comcast Cable Communications, LLC","[54787, 7922]","1402","-20.5999999307096","-4.400000092573464","17.79999991413206"
"2018-05-25","Comcast Cable Communications, LLC","[33651, 7922, 54787]","1468","-15.800000013783574","-4.899999999906868","12.600000016391277"
"2018-05-26","Comcast Cable Communications, LLC","[7922]","919","-19.70000008866191","-0.7000002078711987","20.29999991133809"
"2018-05-27","Comcast Cable Communications, LLC","[7922]","787","-13.199999937787652","-0.9999999310821295","17.800000062212348"
"2018-05-28","Comcast Cable Communications, LLC","[7922]","944","-13.499999997293344","-1.3999999719089828","13.599999983853195"
